PDF,Type,Title,Authors,Mentor TA,Award
Kailana Baker-Matsuoka submission_416167810/Your_Project_Title__1_.pdf,Custom,Architecture-Dependent Effects of Data Curation in Robot Manipulation Imitation Learning,Kailana Baker-Matsuoka,Jonathan Yang,
Karthik Vinay Seetharaman Tushar Dalmia Aaryan Shah submission_416284876/224R_Report__3_.pdf,Custom,Is Exploration Helpful? Evaluating Transfer of Open-Ended Traces to Assignment-Based Code Edits,"Karthik Vinay Seetharaman, Tushar Dalmia, Aaryan Shah",Megha Srivastava,
Kelechi Onuoha submission_416243674/CS_224R_Project_Report__1_.pdf,Default,Adaptive Curriculum RLOO for Verifiable Arithmetic Reasoning in Language Models,Kelechi Onuoha,Abhijnya Bhat,
Kennaissa Kebeto Nabi Henok Mikael Tewolde submission_416276833/Off_Policy_Sampling_for_RLOO_.pdf,Default,Off-Policy Sampling for RLOO: When Does Reusing Rollouts Help?,"Kennaissa Kebeto Nabi, Henok Mikael Tewolde",Ke Wang,
Kevin Michael Porter submission_416252459/CS224R_Project.pdf,Custom,Effect of Stigmergic Potential Fields on Drone Swarm Coordination,Kevin Michael Porter,Tyler Lum,
Kevin Song Sukeerth Ramkumar submission_416286534/cs224r_finalreport__3_.pdf,Default,Granularity-Aware Off-Policy Fine-Tuning of LLMs via Expert Demonstrations,"Kevin Song, Sukeerth Ramkumar, Yina Jian",Shengqu Cai,
Khai Loong Aw Zhang Bai-han submission_416050879/2111_-_CS224R_Project_Final_Report.pdf,Custom,Self-improving Vision-Language Models: Reinforcement Learning over Visual Abstractions,"Khai Loong Aw, Zhang Bai-han",Tyler Lum,
Krish Sharma Lucas Burgett submission_416287359/CS224R_Final_Report__9_.pdf,Custom,Memory-Augmented VLM Planners for Long-Horizon VLA Control via RL,"Krish Sharma, Lucas Burgett",Marcel Torne,
Kuo-Han Hung submission_415391100/224_final_project__3_.pdf,Custom,EXPO-FT: Sample-Efficient Reinforcement Learning Finetuning for Vision-Language-Action Models,Kuo-Han Hung,Perry Dong,Outstanding
Kuzey Kantarcioglu Benji Warburton submission_415727507/Benji_Kuzey_Final_Paper_224R.pdf,Custom,From Text to Torque: Improving RL Tracking of Text-Generated Humanoid Motions,"Kuzey Kantarcioglu, Benji Warburton",Tyler Lum,
Kyle Avery Feinstein Steve Roy Mendeleev Ryan Bookman submission_416280185/CS_224R_Project_Paper-3.pdf,Custom,Learning Priority Functions for Graph-Based Exploration in ARC-AGI-3,"Kyle Avery Feinstein, Steve Roy Mendeleev, Ryan Bookman",Ethan Hsu,
Kyle Ian Schmoyer Hannah Gabriella Clay Shane Robinson Mion submission_416279703/CS224R_Final_Report.pdf,Custom,From Contact to Return: Curriculum and Predictive Shaping for Humanoid Table Tennis,"Kyle Ian Schmoyer, Hannah Gabriella Clay, Shane Robinson Mion",Jonathan Yang,
Kyler Shu Purushotham Mani John Tucker submission_416334219/CS224R_FinalReport.pdf,Custom,"Cooperative Fine-Tuning of Pretrained Vision-Language-Action Policies: Centralization, Communication, and Inference Recipes on TwoArmTransport","Kyler Shu, Purushotham Mani, John Tucker",Joonwon Kang,
Leon Reilly Duy Nguyen submission_416241040/CS224R_Final_Writeup.pdf,Custom,GRPO Didn’t Pass the Bar (But the Harness Did): Harness-Guided Post-Training for Legal Agents,"Leon Reilly, Duy Nguyen",Joy He-Yueya,
Lin Yuan Chloe Yuri Jeon Kelvin Kahiu Waititu submission_416288449/CS224R___Final_Report.pdf,Default,Evaluating RL efficiency improvement methods including Synthetic Data Augmentation and Any-Generation Reward Optimization for Mathematical Reasoning on Countdown Tasks,"Lin Yuan, Chloe Yuri Jeon, Kelvin Kahiu Waititu",Anubha Mahajan,
Lisa Li Yaqi Fan submission_416234583/CS224R_final_project_report__2_.pdf,Custom,Deep Reinforcement Learning for Campus-Scale Vehicle-to-Grid Fleet Scheduling,"Lisa Li, Yaqi Fan",Joy He-Yueya,
Louis de Germay de Cirfontaine Arthur Gontier submission_416269959/CS224R_Final_Report.pdf,Default,When Does Curriculum Learning Help? A Knowledge-Aware Learning-Progress Curriculum for RLVR,"Louis de Germay de Cirfontaine, Arthur Gontier",Riya Karumanchi,
Louis Weisdorf Laszlo Bollyky submission_416271112/CS_224R___Final_Project_Report.pdf,Default,Adaptive Curriculum RL via LLM-Guided Complexity Scoring,"Louis Weisdorf, Laszlo Bollyky",Riya Karumanchi,
Luan Lam submission_416274427/cs224r_Report.pdf,Default,Learning with a Curriculum: Enhancing LLM Math Reasoning via Hint-Based RL Fine-Tuning,Luan Lam,Anubha Mahajan,
Luca De Donno submission_416332358/final_report.pdf,Default,Budget-Conditioned Tool Use for Countdown Reasoning,Luca De Donno,Yash Kankariya,
Lucia Zheng submission_416288226/cs224r_final_report_2026.pdf,Custom,Learning to Explore Through Information-Directed Bayesian Optimal Experimental Design,Lucia Zheng,Ethan Hsu,
Luis Marc Botin-Sanz de Sautuola submission_415931110/Deployment_Time_Risk_Scoring_for_a_Safe_RL_Agent_under_Distribution_Shift.pdf,Custom,Deployment-Time Risk Scoring for a Safe RL Agent under Distribution Shift,Luis Marc Botin-Sanz de Sautuola,Anushree Aggarwal,
Maanit Goel submission_415957090/Prisoner_s_Lemma__Exploitability_Aware_Reinforcement_Learning_for_Online_Strategic_Adaptation___Maanit__5_.pdf,Custom,Prisoner’s Lemma: Exploitability-Aware Reinforcement Learning for Online Strategic Adaptation,Maanit Goel,Marcel Torne,
Mahmood Ishaq Alhusseini Frank D'Agostino Sebastian Beckett Fisher submission_416288352/CS_224R_project_poster-3.pdf,Default,Tool-Integrated Reasoning for Countdown,"Mahmood Ishaq Alhusseini, Frank D'Agostino, Sebastian Beckett Fisher",Anikait Singh,
Mahmoud Elgenedy submission_416287412/Final_project_MahmoudElgenedy_v3.pdf,Default,Adaptive Curriculum Learning with Difficulty-Conditioned Entropy Regularization for RL Fine-Tuning of Large Language Models,Mahmoud Elgenedy,Shengqu Cai,
Mallika Parulekar Tia S Geri Hannah Rachel Levin submission_416341046/CS224R_Final_Report__1__Hannah.pdf,Custom,SketchRL: Finetuning Generative Sketch Models with Visual Rewards,"Mallika Parulekar, Tia S Geri, Hannah Rachel Levin",Ifdita Hasan Orney,
Malti Mohan John submission_416243998/CS224R_Final_Report-4.pdf,Custom,Learning Transfer in Multitask Agents,Malti Mohan John,Joonwon Kang,
Manat Kaur Felipe Leite Teixeira submission_416286890/CS224RReport2.pdf,Default,"Sample Wide, Pick Smart: For a Fixed 0.5B Countdown Reasoner, Test-Time Selection Beats More Training","Manat Kaur, Felipe Leite Teixeira",Riya Karumanchi,
Mark Mutugi Athiri submission_416279705/atari_ssl_writeup.pdf,Custom,Sample-Efficient Atari RL with Self-Supervised Pretrained Visual Encoders,Mark Mutugi Athiri,Joonwon Kang,
Mark William Gernitis submission_416285813/Final_Report_3.pdf,Custom,Does LoRA Rank Requirement Scale with Reward Density? An Empirical Study of Policy-Gradient Post-Training,Mark William Gernitis,Tyler Lum,
Maty Bohacek Jason Boxi Zhang submission_416271801/Jason___Maty_CS224R_Final_Paper__2_.pdf,Default,Improving Tool Internalization for Small Models: Annealed Tool Access for RLOO on Countdown,"Maty Bohacek, Jason Boxi Zhang",Ke Wang,
Mauricio Berlanga Carrillo submission_416263800/final.pdf,Custom,A Contextual Bandit for Cheap-vs-Expensive Code Generation,Mauricio Berlanga Carrillo,Rahul Chand,
Max Luis Rodriguez Samantha Malowane Leventis Joseph Li submission_416020371/final_report.pdf,Custom,Hybrid Advantage Shaping with Goal-Aware Attention for Per-Turn Credit Assignment in LLM-Agent Reinforcement Learning,"Max Luis Rodriguez, Samantha Malowane Leventis, Joseph Li",Perry Dong,
Melvin Liam Poon Keat Kenna Zeng submission_416218785/CS224r_Report.pdf,Custom,Encouraging Taxonomy-Based Diversity within RL Automated Multi-Turn Red-Teaming,"Melvin Liam Poon Keat, Kenna Zeng",Alex Nam,
Meng-Chin Wang submission_416117632/CS224R_-_Progressive_Rationality_-_Enhancing_LLM_Mathematical_Reasoning_via_Numerical_Target_Curriculum_SFT_in_the_Countdown_Task.pdf,Default,Progressive Rationality: Enhancing LLM Mathematical Reasoning via Numerical-Target-Curriculum-SFT in the Countdown Task,Meng-Chin Wang,Anubha Mahajan,
Mert Karabiyik submission_416243179/final_report.pdf,Custom,When Does Specialist RL Help a Small-Model Multi-Agent Pipeline? A Cross-Benchmark Study on Long-Document QA,Mert Karabiyik,Alex Nam,
Mete Gumusayak submission_416288594/CS224R_Final_Report.pdf,Custom,Goal Conditioned Behavior Cloning for Robot Social Navigation,Mete Gumusayak,Tyler Lum,
Michael Yang Du Li submission_416286065/Process_Rewards_and_Tool_Use_Two_Extensions_to_RLOO_Fine_Tuning_for_Math_Reasoning.pdf,Default,Process Rewards and Tool Use: Two Extensions to RLOO Fine-Tuning for Math Reasoning,"Michael Yang, Du Li",Max Du,
Mihir S Menon Zihan Wang Aarav Arora submission_416237841/CS_224R_Final_Report.pdf,Custom,An RL Framework for Persistent Memory Attacks on LLM Agents,"Mihir S Menon, Zihan Wang, Aarav Arora",Joonwon Kang,
Minsik Oh submission_416288501/CS224R_Project_Report__1_.pdf,Custom,Pluralistic Alignment via Self-Distillation from Synthetic User Feedback,Minsik Oh,Rahul Chand,
Minyeong Kim submission_416288775/cs224r_final_report_2025.pdf,Custom,Do generated futures help robot policies through representation alignment or explicit conditioning?,Minyeong Kim,Jonathan Yang,
Mohammad Rehan Ghori submission_416275844/cs224r_Final_Project__1_.pdf,Default,Scaling Test-Time Compute via Generative Verification in Constrained Parameter Regimes,Mohammad Rehan Ghori,Anubha Mahajan,
Monami Dutta Gupta submission_416208168/CS224R_Project_Final_Report.pdf,Custom,SpecGen: RL-Driven Compiler Verification,Monami Dutta Gupta,Jonathan Yang,
Moritz Schreyoegg Jack Herrmann Daniel Hagenlocker submission_416285738/CS224R_Final_Report__2_.pdf,Custom,Hybrid Reinforcement Learning for Chip Macro Placement,"Moritz Schreyoegg, Jack Herrmann, Daniel Hagenlocker",Anushree Aggarwal,Outstanding
Naomie Sandra Chien submission_416189630/CS224R__Project_Final_Report_Template.pdf,Custom,Offline Model-Based Reinforcement Learning for Energy-Efficient GPU Data-Center Cooling,Naomie Sandra Chien,Perry Dong,
Nate Demchak Pravin Ravishanker Haosheng Li submission_416253945/CS224R_Final_Project_Report.pdf,Default,Advantage-Driven Synthetic Curriculum for Reinforcement Learning based Fine-Tuning of Large Language Models,"Nate Demchak, Pravin Ravishanker, Haosheng Li",Anikait Singh,
Nathan Zhou Ria Garg submission_416280457/CS224R_Final_Report.pdf,Custom,SEACTS: Sequential Evidence Acquisition for Cancer Target Selection,"Nathan Zhou, Ria Garg",Megha Srivastava,
Nathaniel D Laurent Matthew Michael Musson submission_416288593/224_Final_Poster__1_.pdf,Custom,Compressed Memory via LoRA Fine-Tuning for Vision-Language-Action Models,"Nathaniel D Laurent, Matthew Michael Musson",Tian Gao,
Nicole Cortes Esidore Fajardo Eneinyang Chloe Di Murdoch submission_415793799/CS224R_Report__7_.pdf,Custom,Sequential Outfit Curation with Multi-Dimensional Aesthetic Rewards,"Nicole Cortes, Esidore Fajardo Eneinyang, Chloe Di Murdoch",Anushree Aggarwal,
Nikhil Raman Nadim Isaac submission_416084231/CS224R_Final_Project_v2.pdf,Default,A Self-Play Algorithm for Countdown,"Nikhil Raman, Nadim Isaac",Max Du,
Norah Asemota submission_416288794/CS224r_Final_Report__1_.pdf,Default,Static vs. Adaptive Curriculum Learning for RLOO Fine-Tuning of Language Models,Norah Asemota,Ke Wang,
Nubia Elena Correa Abi Lopez Annie Gisselle Villalta submission_416149412/Final_Report_CS_224R_All_access.pdf,Custom,Automated Red Teaming using Reinforcement Learning,"Nubia Elena Correa, Abi Lopez, Annie Gisselle Villalta",Joonwon Kang,
Olufeolu Oluwapelumi Kolawole Karn Kaura Nihar Mudigonda submission_416286897/main.pdf,Custom,MARC: Multi-Agent Role Coordination,"Olufeolu Oluwapelumi Kolawole, Karn Kaura, Nihar Mudigonda",Marcel Torne,Honorable
Omar Eduardo Jimenez Lopez submission_416370746/ejimenel_report_v2.pdf,Custom,Generative and Hierarchical Imitation Learning for Marine Trajectory Control in Stochastic Ocean Currents,Omar Eduardo Jimenez Lopez,Jonathan Yang,
Onyinyechi Nichole Okoye submission_416282924/Offline_RL_for_Adaptive_Vocabulary_Selection_in_Conversational_Language_Tutoring.pdf,Custom,Offline RL for Adaptive Vocabulary Selection in Conversational Language Tutoring,Onyinyechi Nichole Okoye,Ifdita Hasan Orney,
Parth Sheth Yucheng Huang submission_416155725/Parth__Yucheng___CS224R_Final_Project_Report.pdf,Default,Structured Search Traces for Process-Aware Countdown Training,"Parth Sheth, Yucheng Huang",Max Du,
Patrick Wang submission_416202865/CS224R_Final_Report.pdf,Default,Cost-Aware Tool-Integrated Reasoning for Countdown Arithmetic,Patrick Wang,Abhijnya Bhat,
Pengyu Mo Haowen Wang Zhen Jia submission_416271921/Memory_Pretraining_for_Vision_Language_Action_Model.pdf,Custom,Memory Pretraining for Vision-Language-Action Model,"Pengyu Mo, Haowen Wang, Zhen Jia",Marcel Torne,
Petru Cristian Budianu Nicolas Bejar Arambula submission_416215724/CS224R___Final_Project_Report__2_.pdf,Default,MaxRL with Imperfect Reward Signals on Countdown,"Petru Cristian Budianu, Nicolas Bejar Arambula",Abhijnya Bhat,
Po-Yun Cheng Wayne Chu submission_416284543/CS224R_Final_Project_Report__1_.pdf,Custom,Multi-Timescale Language Memory for a Frozen VLA Controller,"Po-Yun Cheng, Wayne Chu",Marcel Torne,
Prabu Ganesh Ravindren submission_415987469/CS224r_Project.pdf,Custom,RL-Powered Hint Generation for Adaptive Math Tutoring: A Simulated Student Evaluation of RLOO and DPO Policies,Prabu Ganesh Ravindren,Rahul Chand,
Raul Garreta Tompson Joshua Alexander Bowden Swaroop Pal submission_416215691/cs224r_2026_final_report_point_and_pick.pdf,Custom,Point and Pick: Bounding-Box Conditioned Diffusion Policies and Offline RL for Target-Specific Robot Manipulation,"Raul Garreta Tompson, Joshua Alexander Bowden, Swaroop Pal",Marcel Torne,Honorable
Renn Su Summer Olivia Royal submission_416288403/CS224R_Final_Project_Report__3_.pdf,Default,Memory as an Action Space: Adaptive Retrieval in Small Language Models for Medical Reasoning,"Renn Su, Summer Olivia Royal",Riya Karumanchi,
Ricardo Alberto Carrillo Romero submission_416274651/cs224r_final_report_Ricardo_Carrillo.pdf,Default,Towards Advantage Shaping for Multi-tool Reasoning: A Preliminary Empirical Study,Ricardo Alberto Carrillo Romero,Anubha Mahajan,
Rishabh Malviya submission_416289307/BSP_-_Project_Report.pdf,Custom,Body Schema Pretraining for Sample-Efficient Reinforcement Learning in Robotic Control,Rishabh Malviya,Tian Gao,
Riya Karthik Narain Brooke Hunter Ballhaus submission_416254456/CS_224R_Final_Project_Report.pdf,Custom,Emergent Cooperation in Multi-Agent Pandemic Resource Allocation,"Riya Karthik Narain, Brooke Hunter Ballhaus",Alex Nam,
Roman Gasiorowski submission_416246023/final_report.pdf,Custom,Self-Supervised Data Quality Scoring for Offline RL in Driving,Roman Gasiorowski,Ke Wang,
Rosemary Mingrui Jiang submission_416266797/CS_224R_Final_Project_Report__1_.pdf,Default,Teaching Small Models to Teach,Rosemary Mingrui Jiang,Ke Wang,
Rushank Goyal submission_416288481/CS224R_report.pdf,Custom,Reducing Citation Hallucinations in Large Language Models,Rushank Goyal,Ifdita Hasan Orney,
Rutanshu Jhaveri submission_416288083/CS_224R_Final_Report__4_.pdf,Custom,Structural Diversity Rewards for Verifiable Graph-Structured Reasoning,Rutanshu Jhaveri,Ifdita Hasan Orney,
Ryan D'Cunha Ethan Hersch Abhinav Chinta submission_416264098/CS224R__Final_Project_Report.pdf,Custom,Algorithm Sequencing and Curriculum Learning in Deep Reinforcement Learning,"Ryan D'Cunha, Ethan Hersch, Abhinav Chinta",Ifdita Hasan Orney,
Ryan Nathan Padnis submission_415383266/CS_224R_Final_Paper_.pdf,Custom,Alpha-Informed Optimal Trading Execution: Reinforcement Learning with Domain Informed Priors,Ryan Nathan Padnis,Ethan Hsu,
Ryan Wu submission_416175581/CS224R_Final_Project.pdf,Custom,Model-Based Reinforcement Learning for Particle Accelerator Control,Ryan Wu,Anushree Aggarwal,
Rydham Goyal Rakshit Kaushik submission_416169225/Final_Report.pdf,Default,Test-Time Selection and Curriculum Learning for RL Fine-Tuned Language Models on Countdown Reasoning,"Rydham Goyal, Rakshit Kaushik",Anikait Singh,
Samantha Estrada submission_416286941/CS224R_Final_Report.pdf,Custom,Stay In Your Lane! Hierarchical RL for a Modified Asteroids Game,Samantha Estrada,Rahul Chand,
Sandeep Sethuraman Kuba Hashemian Leon Junliang Liu submission_416267121/CS224R_Final.pdf,Custom,Reinforcement Learning for Fog of War Chess with Action Space Pruning,"Sandeep Sethuraman, Kuba Hashemian, Leon Junliang Liu",Anushree Aggarwal,
Sarvesh R. Babu submission_416283856/CS_224R.pdf,,Structured Action-Effect Observables for Residual RL under Hidden Actuator Drift,Sarvesh R. Babu,Abhijnya Bhat,
Selim Emir Can Mete Erdogan submission_415927787/Deep_RL_Project-report.pdf,Default,Learning to Teach for Test-Time Reasoning,"Selim Emir Can, Mete Erdogan",Ke Wang,
Seraph Kai Yang submission_416249312/CS224R_Final_Project__1_.pdf,Custom,Learning Latent Action World Models for Robot Control from Unlabeled Video,Seraph Kai Yang,Anubha Mahajan,
Shekhar Sharma submission_416271145/cs224r_final_report_2026.pdf,Custom,Replay-Aware Curriculum Learning for RoboPianist,Shekhar Sharma,Megha Srivastava,
Shobhit Agarwal Amirreza Zeinali submission_416263784/final_report.pdf,Custom,PFP: A Perception-Factored Policy for Robust and Efficient SO-101 Manipulation,"Shobhit Agarwal, Amirreza Zeinali",Rahul Chand,
Shreyas C S Anushka Rawat submission_416233239/CS224R_Final_Report.pdf,Default,Strategy-Diverse Synthetic Warm-Starts for RL Fine-Tuning on Countdown,"Shreyas C S, Anushka Rawat",Max Du,
Shyam Sai Bethina Sahil Koita Ananya Ganapathi submission_416285627/main.pdf,Default,Verifier-Guided Recombination Search for Token-Efficient Test-Time Compute in Countdown,"Shyam Sai Bethina, Sahil Koita, Ananya Ganapathi",Anubha Mahajan,
Siddharth Sachdeva submission_416288366/main__1_.pdf,Custom,Reward-Model-Calibrated Reinforcement Learning from Verifiable Rewards for Machine Learning Engineering,Siddharth Sachdeva,Joy He-Yueya,
Sidhanth Mishra submission_416270412/CS224R___Final_Project_Paper_Sidhanth_M-2.pdf,Custom,Fault-Adaptive Locomotion via Implicit Damage Detection in MuJoCo Ant,Sidhanth Mishra,Tian Gao,
Spencer Zhang submission_416278341/cs224r_report__1_.pdf,Custom,Sequential Injection Control for Optimal Stimulated Geologic Hydrogen Production through Deep Reinforcement Learning,Spencer Zhang,Riya Karumanchi,
Stella Wu Daniel Mark Argento submission_416139495/Argento_and_Wu_RL_Reward_Design_in_Personal_Finance.pdf,Custom,Beyond Test Scores: Reward Design for Offline RL in Personal Finance Tutoring,"Stella Wu, Daniel Mark Argento",Alex Nam,Honorable
Steven Feng April Yang Daniel Zou submission_416285789/CS224R_Template.pdf,Custom,Training Robot Policies with a Foundation Model Teacher,"Steven Feng, April Yang, Daniel Zou",Tyler Lum,
Susan Zhang submission_416331144/CS224R_Final_Project_Report.pdf,Custom,Reinforcement Learning for Dynamic Beam Steering in Plasma Metamaterials,Susan Zhang,Megha Srivastava,
Sydney Yan Tracy Y Wei Evy Zhu Shen submission_416285569/CS224R_Final_Project_Report-2.pdf,Custom,Learning from Heterogeneous Data,"Sydney Yan, Tracy Y Wei, Evy Zhu Shen",Tyler Lum,
Syed Ashal Ali submission_416245483/CS_224R_Final_Project_Report__2_.pdf,Default,Selective Entropy Shaping For RLOO: When Importance Weight Gating Hurts Exploration,Syed Ashal Ali,Shengqu Cai,
Tao Sun submission_416288778/Archive__4_.pdf,Default,Countdown as an Agentic Optimization Problem,Tao Sun,Yash Kankariya,
Teresa Zhang submission_415107586/_EMNLP_26__Librarian_Agents__CS224R_Project_Report___2_.pdf,Custom,Librarian Models: Anticipatory Filesystem Construction via Reinforcement Learning,Teresa Zhang,Ifdita Hasan Orney,
Tianhui Huang Jacob Lokheen Lee Daniel Contreras-Esquivel submission_416191313/main.pdf,Custom,SHIELD: Failure-Aware Policy Shielding for Frozen Vision-Language-Action Policies,"Tianhui Huang, Jacob Lokheen Lee, Daniel Contreras-Esquivel",Ke Wang,
Timothy Yu Yash Ranjith submission_416252642/CS224R_Final_Paper.pdf,Default,Multi-Stage Curriculum GRPO for Countdown,"Timothy Yu, Yash Ranjith",Ke Wang,
Tyler Kinh Ho submission_416286558/CS224r_Final_Report.pdf,Custom,Begging for DEI: Increasing LLM Math Performance by Increasing Diversity,Tyler Kinh Ho,Joy He-Yueya,
Umar Padela Neetish Sharma submission_416360541/SODA__Supervised_Option_Discovery_for_Dynamic_Action_Chunking__1_.pdf,Custom,SODA: Supervised Option Discovery for Dynamic Action Chunking,"Umar Padela, Neetish Sharma",Tyler Lum,
Vanessa Felix submission_416277016/cs224r_final_report_2025.pdf,Default,SFT-Estimated Curriculum Learning for Rule-Based RLOO Fine-Tuning,Vanessa Felix,Anikait Singh,
Vikram Garrett Srinivasan submission_416281263/cs-224r-report.pdf,Custom,Learning When to Use Tools: Cost-Aware RL for Agentic Reasoning,Vikram Garrett Srinivasan,Anushree Aggarwal,
Vinav Shah Abhishek A Shah submission_416288555/Final_Report.pdf,Custom,Reinforcement Learning for Noise-Aware Quantum Circuit Compilation,"Vinav Shah, Abhishek A Shah",Rahul Chand,
Vishaal Samir Saraiya submission_416286908/CS_224R_-_Final_Report_-_Vishaal_Samir_Saraiya.pdf,Default,Feature-Space Curriculum Learning for Countdown Reasoning,Vishaal Samir Saraiya,Yash Kankariya,
Viveak Ravichandiran submission_416282898/CS224R_Final_Report.pdf,Default,Adversarial Co-evolution of a Difficulty Judge and an LLM Generator with an RLOO Policy for Cold-Start Countdown Reasoning,Viveak Ravichandiran,Riya Karumanchi,
,Custom,Compressing Vision-Language-Action Models via Backbone and DiT Quantization,William Yang,Tian Gao,
William Z Liu Sakthivel Sivaraman Jerry Gu submission_416331397/CS_224R_Final_Project_Report.pdf,Custom,DiSCo: Distilled Steering via Consolidation for Robot Diffusion Policies,"William Z Liu, Sakthivel Sivaraman, Jerry Gu",Max Du,
Xinyi Ai Jiayu Sui submission_416288358/CS_224R_Project_Final_Report.pdf,Default,Improving Mathematical Reasoning in Small Language Models via Curriculum Learning and Iterative Execution Feedback,"Xinyi Ai, Jiayu Sui",Yash Kankariya,
Xue Zhang submission_416334596/cs224r_final__1_.pdf,Custom,Collapse-Resistant Constitutional AI for Small Language Models through Synthetic Revision Filtering,Xue Zhang,Alex Nam,
Yikai Cao Zhibo Dai submission_416216886/CS224R_Project_Report.pdf,Default,Prompt Distribution Design for RLOO Countdown Reasoning,"Yikai Cao, Zhibo Dai",Anubha Mahajan,
Yize Liu submission_416224107/cs224r_final_report_2026.pdf,Custom,Multi-Move Refinement Reinforcement Learning with D4 Spatial Equivariance for 3D Chip Placement,Yize Liu,Perry Dong,
Yu Chi Hsu Ryan He submission_416242137/CS224R_Final_Project_Report.pdf,Default,Adaptive Curriculum Learning for RL-Based Arithmetic Reasoning,"Yu Chi Hsu, Ryan He",Shengqu Cai,
Yubo Ruan submission_416011159/cs224r_final_report_2025.pdf,Custom,SUBTITLE-DPO: Verifiable-Reward Preference Optimization to Suppress Spurious Burned-in Subtitles in Audio-Visual Video Diffusion,Yubo Ruan,Perry Dong,
Yucheng Yao submission_416115882/msf_rlvr_final_report_final.pdf,Custom,When Does Execution Feedback Transfer? Minimal-Sufficient Feedback for Internalized RLVR,Yucheng Yao,Alex Nam,
Yun Dong Saimai Lau Liane Ozoemelam submission_416283567/CS224R_Final_project_Report.pdf,Custom,Reinforcement Learning for Clinical Site-of-Care Triage in a Sepsis Simulator,"Yun Dong, Saimai Lau, Liane Ozoemelam",Anushree Aggarwal,
Yunshan Wang submission_416289237/cs224r_final_report-4.pdf,Custom,Reward Design for Reinforcement-Learning Fine-Tuning of Navigation Policies,Yunshan Wang,Ethan Hsu,
Yuyan Wu submission_416267242/CS224R_Final_Report_yuyan.pdf,Default,Verifier-Based Reinforcement Learning for Countdown with Curriculum Training,Yuyan Wu,Riya Karumanchi,
Zayn Malhotra Ziyi Ding submission_416287508/CS224R_REPORT_V3.pdf,Default,Making RLOO Learn From Better Signals Curriculum Scheduling and Verification Commit Contrast for Countdown Reasoning,"Zayn Malhotra, Ziyi Ding",Anikait Singh,
Zeyuan Feng submission_416287718/CS224R_final_project_report_zf.pdf,Custom,An Actor-Critic Neural Reachability Solver for High-Dimensional Zero-Sum Games,Zeyuan Feng,Rahul Chand,
Zhaoyang Li submission_416286590/cs224r_final_report_2025.pdf,Default,Sample-Efficient RLOO via Off-Policy Rollout Reuse,Zhaoyang Li,Abhijnya Bhat,
Zhengmao Liu submission_416149136/cs224r_final_report.pdf,Default,Active RLOO: Online Filtering with Adaptive K,Zhengmao Liu,Max Du,
Zi Wang Minghui Xu submission_416282185/CS224R_Report.pdf,Default,Learning to Use Tools: Reinforcement Learning for Tool-Integrated Mathematical Reasoning,"Zi Wang, Minghui Xu",Ke Wang,
Zichen Yuan Sophia Huang submission_416281563/cs224r_final_report.pdf,Custom,Physics-Blind Reward Hacking: Exposing and Mitigating Safety Failures in LLM-Generated Reward Functions for Robotic Manipulation,"Zichen Yuan, Sophia Huang",Tian Gao,
Zijian (Carl) Ma submission_416288476/cs224r_final_report_2026.pdf,Custom,SciencePRM: Process-Reward RL (GRPO) for the Scientific Validity of Intermediate Reasoning Steps,Zijian (Carl) Ma,Joy He-Yueya,Honorable
